"","nationality","response","year"
"1","Afghanistan","non-atheist",2012
"2","Afghanistan","non-atheist",2012
"3","Afghanistan","non-atheist",2012
"4","Afghanistan","non-atheist",2012
"5","Afghanistan","non-atheist",2012
"6","Afghanistan","non-atheist",2012
"7","Afghanistan","non-atheist",2012
"8","Afghanistan","non-atheist",2012
"9","Afghanistan","non-atheist",2012
"10","Afghanistan","non-atheist",2012
"11","Afghanistan","non-atheist",2012
"12","Afghanistan","non-atheist",2012
"13","Afghanistan","non-atheist",2012
"14","Afghanistan","non-atheist",2012
"15","Afghanistan","non-atheist",2012
"16","Afghanistan","non-atheist",2012
"17","Afghanistan","non-atheist",2012
"18","Afghanistan","non-atheist",2012
"19","Afghanistan","non-atheist",2012
"20","Afghanistan","non-atheist",2012
"21","Afghanistan","non-atheist",2012
"22","Afghanistan","non-atheist",2012
"23","Afghanistan","non-atheist",2012
"24","Afghanistan","non-atheist",2012
"25","Afghanistan","non-atheist",2012
"26","Afghanistan","non-atheist",2012
"27","Afghanistan","non-atheist",2012
"28","Afghanistan","non-atheist",2012
"29","Afghanistan","non-atheist",2012
"30","Afghanistan","non-atheist",2012
"31","Afghanistan","non-atheist",2012
"32","Afghanistan","non-atheist",2012
"33","Afghanistan","non-atheist",2012
"34","Afghanistan","non-atheist",2012
"35","Afghanistan","non-atheist",2012
"36","Afghanistan","non-atheist",2012
"37","Afghanistan","non-atheist",2012
"38","Afghanistan","non-atheist",2012
"39","Afghanistan","non-atheist",2012
"40","Afghanistan","non-atheist",2012
"41","Afghanistan","non-atheist",2012
"42","Afghanistan","non-atheist",2012
"43","Afghanistan","non-atheist",2012
"44","Afghanistan","non-atheist",2012
"45","Afghanistan","non-atheist",2012
"46","Afghanistan","non-atheist",2012
"47","Afghanistan","non-atheist",2012
"48","Afghanistan","non-atheist",2012
"49","Afghanistan","non-atheist",2012
"50","Afghanistan","non-atheist",2012
"51","Afghanistan","non-atheist",2012
"52","Afghanistan","non-atheist",2012
"53","Afghanistan","non-atheist",2012
"54","Afghanistan","non-atheist",2012
"55","Afghanistan","non-atheist",2012
"56","Afghanistan","non-atheist",2012
"57","Afghanistan","non-atheist",2012
"58","Afghanistan","non-atheist",2012
"59","Afghanistan","non-atheist",2012
"60","Afghanistan","non-atheist",2012
"61","Afghanistan","non-atheist",2012
